Company Name,Company overview,Company industry,Our key skills,combined_text,preprocessed_text
CÔNG TY TNHH THƯƠNG MẠI&GIAO NHẬN VẬN TẢI QUỐC TẾ TRANG HUY,"CÔNG TY TNHH THƯƠNG MẠI&GIAO NHẬN VẬN TẢI QUỐC TẾ TRANG HUY
Công ty TNHH Thương mại và Giao nhận Vận tải Quốc tế Trang Huy thành lập năm 2011, với đội ngũ sáng lập giàu kinh nghiệm trong lĩnh vực thương mại, vận tải và tài chính. Với nguồn nhân lực trẻ, chuyên nghiệp cùng sự dẫn dắt của ban lãnh đạo giàu kinh nghiệm, Trang Huy Logistics nhanh chóng khẳng định vị thế uy tín trong ngành vận tải hàng hóa nội địa và quốc tế.
Chúng tôi cung cấp dịch vụ giao nhận vận tải đa phương thức: đường biển, hàng không, đường bộ, đường sắt; vận chuyển container, hàng dự án, siêu trường siêu trọng; kinh doanh kho bãi, đại lý tàu biển và dịch vụ khai báo hải quan. Trang Huy Logistics cam kết đáp ứng linh hoạt mọi nhu cầu với chi phí cạnh tranh và dịch vụ chất lượng cao.
Với phương châm “Kết nối nhu cầu, dẫn đầu hiệu quả”, chúng tôi luôn đồng hành cùng khách hàng hướng tới sự phát triển bền vững trong môi trường kinh doanh đầy thử thách.","Transportation, Logistics and Warehouse",,"CÔNG TY TNHH THƯƠNG MẠI&GIAO NHẬN VẬN TẢI QUỐC TẾ TRANG HUY
Công ty TNHH Thương mại và Giao nhận Vận tải Quốc tế Trang Huy thành lập năm 2011, với đội ngũ sáng lập giàu kinh nghiệm trong lĩnh vực thương mại, vận tải và tài chính. Với nguồn nhân lực trẻ, chuyên nghiệp cùng sự dẫn dắt của ban lãnh đạo giàu kinh nghiệm, Trang Huy Logistics nhanh chóng khẳng định vị thế uy tín trong ngành vận tải hàng hóa nội địa và quốc tế.
Chúng tôi cung cấp dịch vụ giao nhận vận tải đa phương thức: đường biển, hàng không, đường bộ, đường sắt; vận chuyển container, hàng dự án, siêu trường siêu trọng; kinh doanh kho bãi, đại lý tàu biển và dịch vụ khai báo hải quan. Trang Huy Logistics cam kết đáp ứng linh hoạt mọi nhu cầu với chi phí cạnh tranh và dịch vụ chất lượng cao.
Với phương châm “Kết nối nhu cầu, dẫn đầu hiệu quả”, chúng tôi luôn đồng hành cùng khách hàng hướng tới sự phát triển bền vững trong môi trường kinh doanh đầy thử thách. Transportation, Logistics and Warehouse ",cng ty tnhh thng migiao nhn vn ti quc t trang huy cng ty tnhh thng mi v giao nhn vn ti quc t trang huy thnh lp nm vi ng sng lp giu kinh nghim trong lnh vc thng mi vn ti v ti chnh vi ngun nhn lc tr chuyn nghip cng s dn dt ca ban lnh o giu kinh nghim trang huy logistics nhanh chng khng nh v th uy tn trong ngnh vn ti hng ha ni v quc t chng ti cung cp dch v giao nhn vn ti phng thc ng bin hng khng ng b ng st vn chuyn container hng d n siu trng siu trng kinh doanh kho bi l tu bin v dch v khai bo hi quan trang huy logistics cam kt p ng linh hot mi nhu cu vi chi ph cnh tranh v dch v cht lng cao vi phng chm kt ni nhu cu dn u hiu qu chng ti lun ng hnh cng khch hng hng ti s pht trin bn vng trong mi trng kinh doanh y th thch transportation logistics warehouse
CÔNG TY TNHH TRUNG NHẬT GPS,"CÔNG TY TNHH TRUNG NHẬT GPS
CÔNG TY TNHH TRUNG NHẬT GPS","AI, Blockchain and Deep Tech Services",,"CÔNG TY TNHH TRUNG NHẬT GPS
CÔNG TY TNHH TRUNG NHẬT GPS AI, Blockchain and Deep Tech Services ",cng ty tnhh trung nht gps cng ty tnhh trung nht gps ai blockchain deep tech services
Công ty TNHH Web Synergies VN,"Bettering your Expectations
Web Synergies is a leading professional services company, transforming clients’ businesses through tailored business solutions, services and consultations that drive sales, improve productivity and enhance operational and marketing efficiency. As experienced business software providers, our unique need-based, consultative approach helps clients envision, build and run more innovative and sustainable businesses. Headquartered in Singapore, Web Synergies also conducts its operations out of Hyderabad & Bengaluru in India, Tokyo in Japan, Dubai in the Middle East, Houston in the United States of America, and Ho Chi Minh City (HCM) in Vietnam.",IT Services and IT Consulting,".NET
ReactJS
Azure","Bettering your Expectations
Web Synergies is a leading professional services company, transforming clients’ businesses through tailored business solutions, services and consultations that drive sales, improve productivity and enhance operational and marketing efficiency. As experienced business software providers, our unique need-based, consultative approach helps clients envision, build and run more innovative and sustainable businesses. Headquartered in Singapore, Web Synergies also conducts its operations out of Hyderabad & Bengaluru in India, Tokyo in Japan, Dubai in the Middle East, Houston in the United States of America, and Ho Chi Minh City (HCM) in Vietnam. IT Services and IT Consulting .NET
ReactJS
Azure",bettering expectations web synergies leading professional services transforming clients businesses tailored business solutions services consultations drive sales improve productivity enhance operational marketing efficiency experienced business software providers unique needbased consultative approach helps clients envision build run innovative sustainable businesses headquartered singapore web synergies conducts operations hyderabad bengaluru india tokyo japan dubai middle east houston united states america ho chi minh city hcm vietnam services consulting net reactjs azure
Convert Digital,"Convert Digital are always looking for motivated eCommerce candidates to join our fast growing team
About Convert Digital (CD): Based in Australia (Melbourne, Sydney & Brisbane) and Vietnam (Hanoi), CD is a leading international ecommerce development company that designs, develops and integrates best practice Magento, Shopify, BigCommerce  & Commercetools ecommerce solutions. We work with global leading retailers and online merchants as the most experienced Magento, Shopify & BigCommerce partners to deliver integrated ecommerce and digital solutions.
 We are a young, strong and growing team of eCommerce experts. Made up of a projects team, a client success team and a tech team, we offer all rounded solutions to deliver amazing results. We keep our team and clients happy by always supporting each other. Convert Digital are always looking for motivated eCommerce professionals to join our fast growing team in Hanoi. We offer the best working environment to make you feel that you are relaxing but actually working effectively.
 ",E-commerce,"Tester
QA QC
English","Convert Digital are always looking for motivated eCommerce candidates to join our fast growing team
About Convert Digital (CD): Based in Australia (Melbourne, Sydney & Brisbane) and Vietnam (Hanoi), CD is a leading international ecommerce development company that designs, develops and integrates best practice Magento, Shopify, BigCommerce  & Commercetools ecommerce solutions. We work with global leading retailers and online merchants as the most experienced Magento, Shopify & BigCommerce partners to deliver integrated ecommerce and digital solutions.
 We are a young, strong and growing team of eCommerce experts. Made up of a projects team, a client success team and a tech team, we offer all rounded solutions to deliver amazing results. We keep our team and clients happy by always supporting each other. Convert Digital are always looking for motivated eCommerce professionals to join our fast growing team in Hanoi. We offer the best working environment to make you feel that you are relaxing but actually working effectively.
  E-commerce Tester
QA QC
English",convert digital looking motivated ecommerce candidates join fast growing team convert digital cd based australia melbourne sydney brisbane vietnam hanoi cd leading international ecommerce development designs develops integrates best practice magento shopify bigcommerce commercetools ecommerce solutions work global leading retailers online merchants experienced magento shopify bigcommerce partners deliver integrated ecommerce digital solutions young strong growing team ecommerce experts projects team client success team tech team offer rounded solutions deliver amazing results team clients happy supporting convert digital looking motivated ecommerce professionals join fast growing team hanoi offer best working environment make feel relaxing actually working effectively ecommerce tester qa qc english
Creative Force,"Help the creative industry create their best work, every day.
Creative Force is an end-to-end studio management software transforming the e-commerce content creation process for global brands and large-scale studios around the globe. We take our customer's existing legacy systems, disorganized spreadsheets, and frustratingly manual processes and replace them with our purpose-built software solutions designed to help creatives work more efficiently and provide studio managers with greater insights into their operations.
We pride ourselves on being a global company and our focus is to find the best possible talent around the world. While our home is in Holstebro, Denmark, we have additional offices located in Berlin, Germany, and Hanoi, Vietnam. We also have several people in the US and Europe working fully remotely.",Software Products and Web Services,"Our Tech stack
.NET
ReactJS
DevOps
React Native
Cloud
AWS
For the backend: .NET Core, SQL Server, Entity Framework, Identity Server, RESTful APIs.
For the frontend, : ReactJS, React Native, Electron, NodeJS, Angular 2+, a little C#, etc.
Besides that we also using many AWS services like EC2, S3, SQS, SES, Lambda, StepFunctions, API Gateway, Cloudfront, Route53, CloudTrail, CloudWatch, Cognito, CodeArtifact, LoadBalancer, ElasticCache (Redis), inspector, KMS, MSK, OpenSearch (Elasticsearch), SNS, Storage Gateway, Transfer Family, VPC and WAF.","Help the creative industry create their best work, every day.
Creative Force is an end-to-end studio management software transforming the e-commerce content creation process for global brands and large-scale studios around the globe. We take our customer's existing legacy systems, disorganized spreadsheets, and frustratingly manual processes and replace them with our purpose-built software solutions designed to help creatives work more efficiently and provide studio managers with greater insights into their operations.
We pride ourselves on being a global company and our focus is to find the best possible talent around the world. While our home is in Holstebro, Denmark, we have additional offices located in Berlin, Germany, and Hanoi, Vietnam. We also have several people in the US and Europe working fully remotely. Software Products and Web Services Our Tech stack
.NET
ReactJS
DevOps
React Native
Cloud
AWS
For the backend: .NET Core, SQL Server, Entity Framework, Identity Server, RESTful APIs.
For the frontend, : ReactJS, React Native, Electron, NodeJS, Angular 2+, a little C#, etc.
Besides that we also using many AWS services like EC2, S3, SQS, SES, Lambda, StepFunctions, API Gateway, Cloudfront, Route53, CloudTrail, CloudWatch, Cognito, CodeArtifact, LoadBalancer, ElasticCache (Redis), inspector, KMS, MSK, OpenSearch (Elasticsearch), SNS, Storage Gateway, Transfer Family, VPC and WAF.",help creative industry create best work day creative force endtoend studio management software transforming ecommerce content creation process global brands largescale studios globe customers existing legacy systems disorganized spreadsheets frustratingly manual processes replace purposebuilt software solutions designed help creatives work efficiently provide studio managers greater insights operations pride global focus best possible talent world home holstebro denmark additional offices located berlin germany hanoi vietnam people europe working fully remotely software products web services tech stack net reactjs devops react native cloud aws backend net core sql server entity framework identity server restful apis frontend reactjs react native electron nodejs angular little c using aws services ec s sqs ses lambda stepfunctions api gateway cloudfront route cloudtrail cloudwatch cognito codeartifact loadbalancer elasticcache redis inspector kms msk opensearch elasticsearch sns storage gateway transfer family vpc waf
CREQA VIỆT NAM,"Creqa Viet Nam Limited Liability Company:
was established in Jan 2021. The company specializes in providing quality inspection of websites, apps and games to Asian customers. In the spirit of a start-up company, Creqa desires to become a reputable and professional outsourcing service company with a team of enthusiastic, dedicated, skillful and knowledgeable. In the process of building the company, we wish we can attract more and more quality candidates with the spirit of enthusiasm to join in developing the Company.",Game,,"Creqa Viet Nam Limited Liability Company:
was established in Jan 2021. The company specializes in providing quality inspection of websites, apps and games to Asian customers. In the spirit of a start-up company, Creqa desires to become a reputable and professional outsourcing service company with a team of enthusiastic, dedicated, skillful and knowledgeable. In the process of building the company, we wish we can attract more and more quality candidates with the spirit of enthusiasm to join in developing the Company. Game ",creqa viet nam limited liability established jan specializes providing quality inspection websites apps games asian customers spirit startup creqa desires reputable professional outsourcing service team enthusiastic dedicated skillful knowledgeable process building wish attract quality candidates spirit enthusiasm join developing game
Crossian,"Crossian
Crossian is a high-growth technology-driven e-commerce business. Behind our success is our people. As a start-up formed in 2020, we have created a fast-paced and dynamic environment, enabling our people to reach a cumulative average growth rate of over 1000% in the last 3 years. Our mission now is to build direct-to-consumer brands and increase customer lifetime value.

 
 
 ",E-commerce,".NET
C#
ReactJS
Business Analyst
NextJS
AWS","Crossian
Crossian is a high-growth technology-driven e-commerce business. Behind our success is our people. As a start-up formed in 2020, we have created a fast-paced and dynamic environment, enabling our people to reach a cumulative average growth rate of over 1000% in the last 3 years. Our mission now is to build direct-to-consumer brands and increase customer lifetime value.

 
 
  E-commerce .NET
C#
ReactJS
Business Analyst
NextJS
AWS",crossian crossian highgrowth technologydriven ecommerce business success people startup formed created fastpaced dynamic environment enabling people reach cumulative average growth rate years mission build directtoconsumer brands increase customer lifetime value ecommerce net c reactjs business analyst nextjs aws
CT Group,"CT Group
Tập đoàn CT Group là một trong những Tập đoàn Công nghệ và Đổi mới Sáng tạo hàng đầu Việt Nam.
Tập đoàn CT Group đã được trao tặng Huân chương Lao động Hạng Nhất của Chủ Tịch nước, với hơn 33 năm phấn đấu không ngừng nghỉ, và 68 Công ty thành viên của Tập đoàn tập trung đầu tư vào lĩnh vực Công nghệ cao trong Cuộc cách mạng Khoa học Công nghệ 4.0 từ năm 2019 đến nay, từ nghiên cứu lý luận đến R&D, thiết kế, sản xuất thương mại và xuất khẩu.
Tập đoàn kiên trì phấn đấu với chiến lược tự cường làm chủ các công nghệ tiên tiến nhất Thế giới trong 9 ngành công nghệ cao: Bán dẫn; Trí tuệ nhân tạo; Máy bay không người lái; Tiền số xanh; Sàn tín chỉ carbon; Nhà xếp không phát thải; Ô tô điện – Tàu điện, Máy tính lượng tử; Năng lượng mới; Gen & Tế bào… và 3 ngành truyền thống: Đô thị xanh thông minh; Phát triển hạ tầng giao thông – kỹ thuật – kinh tế – xã hội và logistics xanh; Thực phẩm sạch, chăm sóc sức khỏe.",Software Products and Web Services,,"CT Group
Tập đoàn CT Group là một trong những Tập đoàn Công nghệ và Đổi mới Sáng tạo hàng đầu Việt Nam.
Tập đoàn CT Group đã được trao tặng Huân chương Lao động Hạng Nhất của Chủ Tịch nước, với hơn 33 năm phấn đấu không ngừng nghỉ, và 68 Công ty thành viên của Tập đoàn tập trung đầu tư vào lĩnh vực Công nghệ cao trong Cuộc cách mạng Khoa học Công nghệ 4.0 từ năm 2019 đến nay, từ nghiên cứu lý luận đến R&D, thiết kế, sản xuất thương mại và xuất khẩu.
Tập đoàn kiên trì phấn đấu với chiến lược tự cường làm chủ các công nghệ tiên tiến nhất Thế giới trong 9 ngành công nghệ cao: Bán dẫn; Trí tuệ nhân tạo; Máy bay không người lái; Tiền số xanh; Sàn tín chỉ carbon; Nhà xếp không phát thải; Ô tô điện – Tàu điện, Máy tính lượng tử; Năng lượng mới; Gen & Tế bào… và 3 ngành truyền thống: Đô thị xanh thông minh; Phát triển hạ tầng giao thông – kỹ thuật – kinh tế – xã hội và logistics xanh; Thực phẩm sạch, chăm sóc sức khỏe. Software Products and Web Services ",ct group tp ct group l mt trong nhng tp cng ngh v mi sng hng u vit nam tp ct group c trao tng hun chng lao ng hng nht ca ch tch nc vi hn nm phn u khng ngng ngh v cng ty thnh vin ca tp tp trung u t vo lnh vc cng ngh cao trong cuc cch mng khoa hc cng ngh t nm n nay t nghin cu l lun n rd thit k sn xut thng mi v xut khu tp kin tr phn u vi chin lc t cng lm ch cc cng ngh tin tin nht th gii trong ngnh cng ngh cao bn dn tr tu nhn bay khng ngi li tin s xanh sn tn ch carbon nh xp khng pht thi t tu tnh lng t nng lng mi gen t bo v ngnh truyn thng th xanh thng minh pht trin h tng giao thng k thut kinh t x hi v logistics xanh thc phm sch chm sc sc khe software products web services
CTY TNHH VNR Software,"CTY TNHH VNR Software
VINARA Holding luôn trân trọng giá trị nền tảng cho sự phát triển, đó là các cơ hội được hợp tác với Quý khách hàng. Và không có bất kỳ khó khăn nào có thể ngăn cản chúng tôi mang lại những giá trị tiện ích phù hợp với mong muốn và lợi ích của Quý khách hàng. Chúng tôi tin tưởng rằng với tập thể VNR Holding đoàn kết, vững mạnh và sự ủng hộ của Quý khách hàng, VNR Holding chắc chắn sẽ gặt hái được nhiều thành công hơn nữa trong tương lai.",E-commerce,,"CTY TNHH VNR Software
VINARA Holding luôn trân trọng giá trị nền tảng cho sự phát triển, đó là các cơ hội được hợp tác với Quý khách hàng. Và không có bất kỳ khó khăn nào có thể ngăn cản chúng tôi mang lại những giá trị tiện ích phù hợp với mong muốn và lợi ích của Quý khách hàng. Chúng tôi tin tưởng rằng với tập thể VNR Holding đoàn kết, vững mạnh và sự ủng hộ của Quý khách hàng, VNR Holding chắc chắn sẽ gặt hái được nhiều thành công hơn nữa trong tương lai. E-commerce ",cty tnhh vnr software vinara holding lun trn trng gi tr nn tng cho s pht trin l cc c hi c hp tc vi qu khch hng v khng c bt k kh khn c th ngn cn chng ti mang li nhng gi tr tin ch ph hp vi mong mun v li ch ca qu khch hng chng ti tin tng rng vi tp th vnr holding kt vng mnh v s ng h ca qu khch hng vnr holding chc chn s gt hi c nhiu thnh cng hn na trong tng lai ecommerce
CUBICSTACK SOLUTIONS,"CUBICSTACK SOLUTIONS
CUBICSTACK SOLUTIONS COMPANY LIMITED
CubicStack Solutions is a software development company with its namesake approach of three dimensional thinking  upon various stages and levels of application design and development. We maintain in-house products that are in the FinTech space while also having anchor, long-term clients around the world across Asia and Europe in the Blockchain space. CubicStack also works with Venture Capitalist firms to invest in and innovate new products and technologies.",Financial Services,"Our Key Skills
PHP
MySQL
Laravel
ReactJS
JavaScript
Database
Optimization for business & services, R&D for core technology & tools- intermediary technology- DApps (Decentralized Applications)
Regulation: compliance, reinforcement technology specialized for individual countries- Regulation Technology (RegTech)","CUBICSTACK SOLUTIONS
CUBICSTACK SOLUTIONS COMPANY LIMITED
CubicStack Solutions is a software development company with its namesake approach of three dimensional thinking  upon various stages and levels of application design and development. We maintain in-house products that are in the FinTech space while also having anchor, long-term clients around the world across Asia and Europe in the Blockchain space. CubicStack also works with Venture Capitalist firms to invest in and innovate new products and technologies. Financial Services Our Key Skills
PHP
MySQL
Laravel
ReactJS
JavaScript
Database
Optimization for business & services, R&D for core technology & tools- intermediary technology- DApps (Decentralized Applications)
Regulation: compliance, reinforcement technology specialized for individual countries- Regulation Technology (RegTech)",cubicstack solutions cubicstack solutions limited cubicstack solutions software development namesake approach dimensional thinking various stages levels application design development maintain inhouse products fintech space having anchor longterm clients world asia europe blockchain space cubicstack works venture capitalist firms invest innovate new products technologies financial services key php mysql laravel reactjs javascript database optimization business services rd core technology tools intermediary technology dapps decentralized applications regulation compliance reinforcement technology specialized individual countries regulation technology regtech
CyberQuote Pte Ltd,"Company Profile
Since 1975, PhillipCapital has grown as an integrated Asian financial house with a global presence that offers a full range of quality and innovative services to retail, corporate and institutional customers within 17 countries. 
Cyberquote is a member of PhillipCapital, which is a group of companies offering a wide range of financial services and products to retail and corporate customers. The products/services include broking in securities and futures, fund management, unit trusts, insurance planning, private equity, research, and corporate finance.
CyberQuote is an established name with more than 20 years of experience in serving the investing public and the financial services industry. Our branch present in 8 different countries.
CyberQuote is an ISO 27001 certified company specializing in financial training and information technology solutions such as securities trading & processing systems, starting with Southeast Asia’s first Internet Financial Trading Platform.",,"Software development
Java
C++
C#
Database
OOP
Team Leader
Must be professional in coding skill (Java, .NET,…).
Must be deeply knowledge and experience in system architecture design and Detail API design and System analysis.
 ","Company Profile
Since 1975, PhillipCapital has grown as an integrated Asian financial house with a global presence that offers a full range of quality and innovative services to retail, corporate and institutional customers within 17 countries. 
Cyberquote is a member of PhillipCapital, which is a group of companies offering a wide range of financial services and products to retail and corporate customers. The products/services include broking in securities and futures, fund management, unit trusts, insurance planning, private equity, research, and corporate finance.
CyberQuote is an established name with more than 20 years of experience in serving the investing public and the financial services industry. Our branch present in 8 different countries.
CyberQuote is an ISO 27001 certified company specializing in financial training and information technology solutions such as securities trading & processing systems, starting with Southeast Asia’s first Internet Financial Trading Platform.  Software development
Java
C++
C#
Database
OOP
Team Leader
Must be professional in coding skill (Java, .NET,…).
Must be deeply knowledge and experience in system architecture design and Detail API design and System analysis.
 ",profile phillipcapital grown integrated asian financial house global presence offers range quality innovative services retail corporate institutional customers countries cyberquote member phillipcapital group companies offering wide range financial services products retail corporate customers productsservices include broking securities futures fund management unit trusts insurance planning private equity research corporate finance cyberquote established years experience serving investing public financial services industry branch present different countries cyberquote iso certified specializing financial training information technology solutions securities trading processing systems starting southeast asias internet financial trading platform software development java c c database oop team leader professional coding skill java net deeply knowledge experience architecture design api design analysis
Daoukiwoom Innovation,"Korea’s leading IT company
DAOU, meaning ‘doing great good to the World’, has been leading the Korean IT industry with outstanding technology over the last 35 years. Daoukiwoom Innovation is a part of Daoukiwoom Group.
DaouKiwoom Group started off in the IT business areas, having expanded business horizons to online based financial services, contents, and service businesses. It has also been continuing its stride to overseas, transforming itself into a global enterprise.
With the first listing of Daou Technology on the KOSPI market in 1997, today DaouKiwoom Group has 3 affiliates listed on KOSPI and 5 on KOSDAQ, a total of 8 listed companies. 
DaouKiwoom Group has expanded into USA, Japan, China, Indonesia, Vietnam and France, creating outstanding developments in areas of IT, finance, and service. 
If you are looking for a company where you can show your skills in a dynamic environment, please come to us! Being part of our company, you will work with a funny and happy team.
 ",IT Services and IT Consulting,"Our Key Skills
English
NodeJS
ReactJS
Cloud
Agile
JavaScript
Always apply the latest technology","Korea’s leading IT company
DAOU, meaning ‘doing great good to the World’, has been leading the Korean IT industry with outstanding technology over the last 35 years. Daoukiwoom Innovation is a part of Daoukiwoom Group.
DaouKiwoom Group started off in the IT business areas, having expanded business horizons to online based financial services, contents, and service businesses. It has also been continuing its stride to overseas, transforming itself into a global enterprise.
With the first listing of Daou Technology on the KOSPI market in 1997, today DaouKiwoom Group has 3 affiliates listed on KOSPI and 5 on KOSDAQ, a total of 8 listed companies. 
DaouKiwoom Group has expanded into USA, Japan, China, Indonesia, Vietnam and France, creating outstanding developments in areas of IT, finance, and service. 
If you are looking for a company where you can show your skills in a dynamic environment, please come to us! Being part of our company, you will work with a funny and happy team.
  IT Services and IT Consulting Our Key Skills
English
NodeJS
ReactJS
Cloud
Agile
JavaScript
Always apply the latest technology",koreas leading daou meaning doing great good world leading korean industry outstanding technology years daoukiwoom innovation daoukiwoom group daoukiwoom group started business areas having expanded business horizons online based financial services contents service businesses continuing stride overseas transforming global enterprise listing daou technology kospi market today daoukiwoom group affiliates listed kospi kosdaq total listed companies daoukiwoom group expanded usa japan china indonesia vietnam france creating outstanding developments areas finance service looking dynamic environment come work funny happy team services consulting key english nodejs reactjs cloud agile javascript apply latest technology
Datalogic Việt Nam,"A 100% foreign owned company belonging to DATALOGIC S.p.A (Italy)
Datalogic is a global technology leader in the automatic data capture and factory automation markets, specialized in the designing and production of barcode readers, mobile computers, sensors for detection, measurement and safety, RFID, vision and laser marking systems.
Datalogic can boast over 50 years of history, during which it has achieved unique results: approximately 1.200 patents in multiple jurisdictions; 11 research centers and development (in Italy, USA, China and Vietnam); thousands of prestigious partners and customers deployed over five continents. The company has grown constantly over the years, thanks to the dedication with which customer needs have always been at the heart of the quality of its products and to the considerable investments in Research & Development, supported by a management capable of looking to the future.
Today, Datalogic Group has approximately 3,000 employees worldwide, distributed in 29 offices, with 11 manufacturing and repair facilities in the USA, Hungary, Slovakia, Italy, China, Vietnam and Australia. Datalogic S.p.A. is listed on the STAR segment of the Italian Stock Exchange since 2001 as DAL.MI.  In 2022, the Datalogic Group made significant strides and concluded the year by generating revenue of approximately €655 million. The Group is headquartered in Bologna, Italy.",Manufacturing and Engineering,"Our Key Skills
C#
Java
Tester
C++
Embedded
QA QC","A 100% foreign owned company belonging to DATALOGIC S.p.A (Italy)
Datalogic is a global technology leader in the automatic data capture and factory automation markets, specialized in the designing and production of barcode readers, mobile computers, sensors for detection, measurement and safety, RFID, vision and laser marking systems.
Datalogic can boast over 50 years of history, during which it has achieved unique results: approximately 1.200 patents in multiple jurisdictions; 11 research centers and development (in Italy, USA, China and Vietnam); thousands of prestigious partners and customers deployed over five continents. The company has grown constantly over the years, thanks to the dedication with which customer needs have always been at the heart of the quality of its products and to the considerable investments in Research & Development, supported by a management capable of looking to the future.
Today, Datalogic Group has approximately 3,000 employees worldwide, distributed in 29 offices, with 11 manufacturing and repair facilities in the USA, Hungary, Slovakia, Italy, China, Vietnam and Australia. Datalogic S.p.A. is listed on the STAR segment of the Italian Stock Exchange since 2001 as DAL.MI.  In 2022, the Datalogic Group made significant strides and concluded the year by generating revenue of approximately €655 million. The Group is headquartered in Bologna, Italy. Manufacturing and Engineering Our Key Skills
C#
Java
Tester
C++
Embedded
QA QC",foreign owned belonging datalogic spa italy datalogic global technology leader automatic data capture factory automation markets specialized designing production barcode readers mobile computers sensors detection measurement safety rfid vision laser marking systems datalogic boast years history achieved unique results approximately patents multiple jurisdictions research centers development italy usa china vietnam thousands prestigious partners customers deployed continents grown constantly years thanks dedication customer needs heart quality products considerable investments research development supported management capable looking future today datalogic group approximately employees worldwide distributed offices manufacturing repair facilities usa hungary slovakia italy china vietnam australia datalogic spa listed star segment italian stock exchange dalmi datalogic group significant strides concluded year generating revenue approximately million group headquartered bologna italy manufacturing engineering key c java tester c embedded qa qc
DatVietVAC,"The largest and vertically integrated media & entertainment group that provides end-to-end solutions
About DatViet VAC Group Holdings: The largest and only vertically integrated media & entertainment group that provides end-to-end solutions to marketers in Vietnam.
 1.000 employees at three offices in Ho Chi Minh City, Hanoi and Danang.
 All of our companies are top 3, if not the leader, in their respective sectors:
  2 media planning & buying and Advertising Agencies
3 TV content creation, production & distribution
5 TV channel investment & management
1 OTT platform
1 OOH planning, buying & site ownership
Consistent annual growth rates that either match or exceed industry rates in the past 20 years.
 An enviable portfolio of blue chip customers including many leading local and MNC Brands such as Pepsi, Unilever, Kao, LG, Masan, P&G, Coca Cola, Asia Foods, ICP, Sabeco, Vinamilk, etc.
 Rank top 20 current listed corporations by market valuation in Vietnam.","Media, Advertising and Entertainment","Golang
DevOps
System Engineer
Security","The largest and vertically integrated media & entertainment group that provides end-to-end solutions
About DatViet VAC Group Holdings: The largest and only vertically integrated media & entertainment group that provides end-to-end solutions to marketers in Vietnam.
 1.000 employees at three offices in Ho Chi Minh City, Hanoi and Danang.
 All of our companies are top 3, if not the leader, in their respective sectors:
  2 media planning & buying and Advertising Agencies
3 TV content creation, production & distribution
5 TV channel investment & management
1 OTT platform
1 OOH planning, buying & site ownership
Consistent annual growth rates that either match or exceed industry rates in the past 20 years.
 An enviable portfolio of blue chip customers including many leading local and MNC Brands such as Pepsi, Unilever, Kao, LG, Masan, P&G, Coca Cola, Asia Foods, ICP, Sabeco, Vinamilk, etc.
 Rank top 20 current listed corporations by market valuation in Vietnam. Media, Advertising and Entertainment Golang
DevOps
System Engineer
Security",largest vertically integrated media entertainment group provides endtoend solutions datviet vac group holdings largest vertically integrated media entertainment group provides endtoend solutions marketers vietnam employees offices ho chi minh city hanoi danang companies leader respective sectors media planning buying advertising agencies tv content creation production distribution tv channel investment management ott platform ooh planning buying site ownership consistent annual growth rates match exceed industry rates past years enviable portfolio blue chip customers including leading local mnc brands pepsi unilever kao lg masan pg coca cola asia foods icp sabeco vinamilk rank current listed corporations market valuation vietnam media advertising entertainment golang devops engineer security
